argumentTypeId,argumentTypeName,sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,sourcePhysiologicalStateId,sourcePhysiologicalStateName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,targetPhysiologicalStateId,targetPhysiologicalStateName,localityId,localityName,decimalLatitude,decimalLongitude,observationDateTime,referenceDoi,referenceUrl
https://en.wiktionary.org/wiki/support,support,,EOL:46505906,Cancer pagurus,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46502509,Galathea strigosa,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:46505906,Cancer pagurus,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46515111,Palaemon sp,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:46505906,Cancer pagurus,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46507226,Inachus sp,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:46505906,Cancer pagurus,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46508899,Necora puber,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:46502509,Galathea strigosa,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46515111,Palaemon sp,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:46502509,Galathea strigosa,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46507226,Inachus sp,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:46502509,Galathea strigosa,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46508899,Necora puber,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:46515111,Palaemon sp,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46507226,Inachus sp,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:46515111,Palaemon sp,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46508899,Necora puber,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:46507226,Inachus sp,,,,,,,http://purl.obolibrary.org/obo/RO_0008506,ecologically co-occurs with,,EOL:46508899,Necora puber,,,,,,,,"Cíes Islands, Spain",,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:492280,Octopus vulgaris,,,,,,,http://purl.obolibrary.org/obo/RO_0002439,preys on,,EOL:46506990,Maja brachydactyla,,,,,,,,,,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:492280,Octopus vulgaris,,,,,,,http://purl.obolibrary.org/obo/RO_0002439,preys on,,EOL:46505906,Cancer pagurus,,,,,,,,,,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:492280,Octopus vulgaris,,,,,,,http://purl.obolibrary.org/obo/RO_0002439,preys on,,EOL:46508899,Necora puber,,,,,,,,,,,,10.1002/fee.2462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2462
https://en.wiktionary.org/wiki/support,support,,EOL:45511485,Hieraaetus pennatus,,,,,,,http://purl.obolibrary.org/obo/RO_0002439,preys on,,EOL:14479,Uromastyx sp. ,,,,,,,,Spain,,,3-Apr-21,10.1002/fee.2478,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2478
https://en.wiktionary.org/wiki/support,support,,EOL:45509264,Creagrus furcatus,,,,,,,http://purl.obolibrary.org/obo/RO_0002439,preys on,,EOL:46562013,Myrichthys cf maculosus,,,,,,,,Genovesa Island,,,14-Feb,10.1002/fee.2489,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2489
https://en.wiktionary.org/wiki/support,support,,EOL:1225482,Caulerpa cylindracea,,,,,,,http://purl.obolibrary.org/obo/RO_HOM0000033,mimics,,EOL:90338,Derbesia spp.,,,,,,,,,,,,10.1002/fee.2491,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2491
https://en.wiktionary.org/wiki/support,support,,EOL:1225482,Caulerpa cylindracea,,,,,,,http://purl.obolibrary.org/obo/RO_HOM0000033,mimics,,EOL:89644,Chlorodesmis spp.,,,,,,,,,,,,10.1002/fee.2491,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2491
https://en.wiktionary.org/wiki/support,support,,EOL:45511385,Chondrohierax uncinatus,,,,,,,http://purl.obolibrary.org/obo/RO_0002439,preys on,,EOL:52227144,Achatina fulica,,,,,,,,"Pirajuí, São Paulo, Brazil",,,,10.1002/fee.2492,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2492
https://en.wiktionary.org/wiki/support,support,,EOL:418348,Leucaena leucocephala,,,,,,,http://purl.obolibrary.org/obo/RO_0008505,creates habitat for,,EOL:45511385,Chondrohierax uncinatus,,,,,,,,"Pirajuí, São Paulo, Brazil",,,,10.1002/fee.2492,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2492
https://en.wiktionary.org/wiki/support,support,,EOL:1135002,Phragmipedium vittatum,,,,,,,http://purl.obolibrary.org/obo/RO_0008505,creates habitat for,,EOL:1025116,Dendropsophus elianeae,,,,,,,,central Brazil,,,,10.1002/fee.2490,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2490
https://en.wiktionary.org/wiki/support,support,,EOL:52423,Stenopola sp,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,EOL:1135002,Phragmipedium vittatum,,flower,,,,,,central Brazil,,,,10.1002/fee.2490,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2490
